Title,Author,MyRating,AverageRating,NumberOfPages,DateRead,Year,id,Genre,Link
"One Piece, Volume 38", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,154, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 39", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,155, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 40", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,156, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 41",Eiichiro Oda,5,4.48,207.0,2020/05/01,2020,157, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 42",Eiichiro Oda,5,4.48,207.0,2020/05/01,2020,158, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 43", Eiichiro Oda,5,4.48,207.0, 2020/05/01,2020,159, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 44", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,160, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 45", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,161, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 46", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,162, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 47", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,163, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 48", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,164, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 49", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,165, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 50", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,166, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 51", Eiichiro Oda,5,4.48,207.0,2020/06/01,2020,167, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 52", Eiichiro Oda,5,4.48,207.0,2020/06/01,2020,168, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 53", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,169, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 54", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,170, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 55", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,171, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 56", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,172, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 57", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,173, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 58", Eiichiro Oda,5,4.48,207.0, 2020/06/01,2020,174, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 59", Eiichiro Oda,5,4.48,207.0, 2020/07/01,2020,175, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 60", Eiichiro Oda,5,4.48,207.0, 2020/07/01,2020,176, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 61", iichiro Oda,5,4.48,207.0,2020/07/01,2020,177, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 62", Eiichiro Oda,5,4.48,207.0,2020/07/01,2020,178, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 63", Eiichiro Oda,5,4.48,207.0, 2020/07/01,2020,179, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 64", Eiichiro Oda,5,4.48,207.0, 2020/07/01,2020,180, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 65", Eiichiro Oda,5,4.48,207.0, 2020/07/01,2020,181, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 66", Eiichiro Oda,5,4.48,207.0, 2020/07/01,2020,182, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 67", Eiichiro Oda,5,4.48,207.0, 2020/07/01,2020,183, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 68", Eiichiro Oda,5,4.48,207.0, 2020/07/01,2020,184, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 69", Eiichiro Oda,5,4.48,207.0, 2020/07/01,2020,185, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 70", Eiichiro Oda,5,4.48,207.0, 2020/07/01,2020,186, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 71",Eiichiro Oda,5,4.48,207.0,2020/08/01,2020,187, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 72",Eiichiro Oda,5,4.48,207.0,2020/08/01,2020,188, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 73", Eiichiro Oda,5,4.48,207.0, 2020/08/01,2020,189, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 74", Eiichiro Oda,5,4.48,207.0, 2020/08/01,2020,190, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 75", Eiichiro Oda,5,4.48,207.0, 2020/08/01,2020,191, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 76", Eiichiro Oda,5,4.48,207.0, 2020/08/01,2020,192, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 77", Eiichiro Oda,5,4.48,207.0, 2020/08/01,2020,193, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 78", Eiichiro Oda,5,4.48,207.0, 2020/08/01,2020,194, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 79", Eiichiro Oda,5,4.48,207.0, 2020/08/01,2020,195, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 80", Eiichiro Oda,5,4.48,207.0, 2020/08/01,2020,196, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 81",Eiichiro Oda,5,4.48,207.0,2020/08/01,2020,197, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 82",Eiichiro Oda,5,4.48,207.0,2020/08/01,2020,198, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 83", Eiichiro Oda,5,4.48,207.0, 2020/09/01,2020,199, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 84", Eiichiro Oda,5,4.48,207.0, 2020/09/01,2020,200, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 85", Eiichiro Oda,5,4.48,207.0, 2020/09/01,2020,201, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 86", Eiichiro Oda,5,4.48,207.0, 2020/09/01,2020,202, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 87", Eiichiro Oda,5,4.48,207.0, 2020/09/01,2020,203, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 88", Eiichiro Oda,5,4.48,207.0, 2020/09/01,2020,204, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 89", Eiichiro Oda,5,4.48,207.0, 2020/09/01,2020,205, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 90", Eiichiro Oda,5,4.48,207.0, 2020/09/01,2020,206, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 91",Eiichiro Oda,5,4.48,207.0,2020/10/01,2020,207, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 92",Eiichiro Oda,5,4.48,207.0,2020/10/01,2020,208, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 93", Eiichiro Oda,5,4.48,207.0,2020/10/01,2020,209, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 94", Eiichiro Oda,5,4.48,207.0,2020/10/01,2020,210, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 95", Eiichiro Oda,5,4.48,207.0,2020/10/01,2020,211, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 96", Eiichiro Oda,5,4.48,207.0,2020/10/01,2020,212, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 97", Eiichiro Oda,5,4.48,207.0,2020/11/01,2020,213, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 98", Eiichiro Oda,5,4.48,207.0,2021/02/01,2021,214, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 99", Eiichiro Oda,5,4.48,207.0,2021/06/01,2021,215, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 100", Eiichiro Oda,5,4.48,207.0, 2021/09/01,2021,216, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 101",Eiichiro Oda,5,4.48,207.0,2021/12/01,2021,217, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 102",Eiichiro Oda,5,4.48,207.0,2022/04/01,2022,218, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 103", Eiichiro Oda,5,4.48,207.0, 2022/08/01,2022,219, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 104", Eiichiro Oda,5,4.48,207.0, 2022/11/01,2022,220, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 105", Eiichiro Oda,5,4.48,207.0, 2023/03/01,2023,221, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 106", Eiichiro Oda,5,4.48,207.0, 2023/07/01,2023,222, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 107", Eiichiro Oda,5,4.48,207.0, 2023/11/01,2023,223, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"One Piece, Volume 108", Eiichiro Oda,5,4.48,207.0, 2024/03/01,2024,224, Manga,https://upload.wikimedia.org/wikipedia/en/a/a3/One_Piece%2C_Volume_1.jpg
"Attack on Titan, Vol. 1",Hajime Isayama,5,4.47,193.0,2023/03/01,2023,225, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 2",Hajime Isayama,5,4.47,193.0,2023/03/01,2023,226, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 3", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,227, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 4", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,228, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 5", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,229, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 6", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,230, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 7", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,231, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 8", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,232, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 9", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,233, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 10", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,234, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 11", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,235, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 12", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,236, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 13", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,237, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 14", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,238, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Attack on Titan, Vol. 15", Hajime Isayama,5,4.47,193.0, 2023/03/01,2023,239, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432712438i/13154150.jpg
"Chainsaw Man, Vol. 1",Tatsuki Fujimoto,5,4.39,192.0,2022/11/01,2022,240, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1617389215i/55575967.jpg
"Chainsaw Man, Vol. 2",Tatsuki Fujimoto,5,4.39,192.0,2022/11/01,2022,241, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560113777i/45730625.jpg
"Chainsaw Man, Vol. 3", Tatsuki Fujimoto,5,4.39,192.0, 2022/11/01,2022,242, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1564589320i/46226780.jpg
"Chainsaw Man, Vol. 4", Tatsuki Fujimoto,5,4.39,192.0, 2022/11/01,2022,243, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1570033159l/49966677.jpg
"Chainsaw Man, Vol. 5", Tatsuki Fujimoto,5,4.39,192.0, 2022/11/01,2022,244, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1577293600l/52086563.jpg
"Chainsaw Man, Vol. 6", Tatsuki Fujimoto,5,4.39,192.0, 2022/11/01,2022,245, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1583358251i/49710028.jpg
"Chainsaw Man, Vol. 7", Tatsuki Fujimoto,5,4.39,192.0, 2022/11/01,2022,246, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1591035808i/52093297.jpg
"Chainsaw Man, Vol. 8", Tatsuki Fujimoto,5,4.39,192.0, 2022/11/01,2022,247, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1596210743i/53676978.jpg
"Chainsaw Man, Vol. 9", Tatsuki Fujimoto,5,4.39,192.0, 2022/11/01,2022,248, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1604074046i/54702009.jpg
"Chainsaw Man, Vol. 10", Tatsuki Fujimoto,5,4.39,192.0, 2022/11/01,2022,249, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1609351078i/55811132.jpg
"Chainsaw Man, Vol. 11", Tatsuki Fujimoto,5,4.39,192.0, 2022/11/01,2022,250, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1614969799i/56269317.jpg
"Chainsaw Man, Vol. 12", Tatsuki Fujimoto,5,4.39,192.0, 2022/11/01,2022,251, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1664562463i/61432185.jpg
"Yamada-kun to Lv999 no Koi wo Suru, Vol. 1",Mashiro,5,4.32,194.0,2023/04/06,2023,252, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1582656540i/51741258.jpg
"Yamada-kun to Lv999 no Koi wo Suru, Vol. 2", Mashiro,5,4.32,194.0, 2023/04/06,2023,253, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1600787028i/55427232.jpg
"Yamada-kun to Lv999 no Koi wo Suru, Vol. 3", Mashiro,5,4.32,194.0, 2023/04/06,2023,254, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1616425552i/57491088.jpg
"Yamada-kun to Lv999 no Koi wo Suru, Vol. 4", Mashiro,5,4.32,194.0, 2023/04/06,2023,255, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1634489625i/59366923.jpg
"Yamada-kun to Lv999 no Koi wo Suru, Vol. 5", Mashiro,5,4.32,194.0, 2023/04/06,2023,256, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1707525047i/60867409.jpg
"Yamada-kun to Lv999 no Koi wo Suru, Vol. 6", Mashiro,5,4.32,194.0, 2023/04/06,2023,257, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1707525148i/122756145.jpg
"Yamada-kun to Lv999 no Koi wo Suru, Vol. 7", Mashiro,5,4.32,194.0, 2023/04/06,2023,258, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1707525261i/197025594.jpg
"Yamada-kun to Lv999 no Koi wo Suru, Vol. 8", Mashiro,5,4.32,194.0, 2023/04/06,2023,259, Manga,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1707525325i/199297543.jpg
"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,5,4.54,320.0,2024/05/27,2024,260,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1572608363i/43449920.jpg
"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,5,4.47,288.0,2024/05/28,2024,261,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1640745736i/56060300.jpg
Cain's Jawbone,Torquemada,5,3.83,100.0,2024/04/17,2024,262,Fiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1567840884l/50074593.jpg
Six Scorched Roses,Carissa Broadbent,5,4.26,187.0,2024/05/13,2024,263,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1711665498i/123027751.jpg
