Title,Author,MyRating,AverageRating,NumberOfPages,DateRead,Year,id,Genre,Link
"Crossed (Matched, #2)",Ally Condie,5,3.52,367.0,2020/06/11,2020,54,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1374335939i/15812814.jpg
Harry Potter and the Sorcerer’s Stone,J.K. Rowling,5,4.47,333.0,2020/01/23,2020,55,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3.jpg
"The Risk (Briar U, #2)",Elle Kennedy,4,4.24,402.0,2019/07/23,2019,56,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553609225i/41032121.jpg
"The Chase (Briar U, #1)",Elle Kennedy,4,3.87,368.0,2019/07/23,2019,57,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1530890863i/34851664.jpg
Harry Potter and the Chamber of Secrets,J.K. Rowling,5,4.47,352.0,2020/01/23,2020,58,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881.jpg
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,5,4.47,435.0,2021/02/23,2021,59,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5.jpg
Harry Potter and the Goblet of Fire,J.K. Rowling,5,4.57,734.0,2021/01/23,2021,60,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554006152i/6.jpg
Harry Potter and the Order of the Phoenix,J.K. Rowling,5,4.5,912.0,2021/02/23,2021,61,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg
Dear Aaron,Mariana Zapata,5,3.91,500.0,2019/09/15,2019,62,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1497156593i/35404657.jpg
"Rapture (Fallen, #4)",Lauren Kate,4,3.99,466.0,2014/08/30,2014,63,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362339818i/12716010.jpg
"Passion (Fallen, #3)",Lauren Kate,4,3.86,420.0,2014/08/05,2014,64,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362339802i/9369720.jpg
"Torment (Fallen, #2)",Lauren Kate,4,3.85,452.0,2014/07/18,2014,65,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362339749i/7740152.jpg
"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,4,4.33,504.0,2024/04/01,2024,66,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1711665394i/60714999.jpg
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,4,4.36,300.0,2024/03/20,2024,67,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553624975i/26032912.jpg
"The Wicked King (The Folk of the Air, #2)",Holly Black,4,4.3,336.0,2024/03/16,2024,68,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1520620414i/26032887.jpg
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4,4.05,370.0,2024/03/14,2024,69,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1574535986i/26032825.jpg
"Boundless (Unearthly, #3)",Cynthia Hand,5,4.12,448.0,2016/01/17,2016,70,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1342208984i/13049981.jpg
"Hallowed (Unearthly, #2)",Cynthia Hand,5,4.09,403.0,2016/01/04,2016,71,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1332883896i/11563110.jpg
"Unearthly (Unearthly, #1)",Cynthia Hand,5,4.01,435.0,2015/12/29,2015,72,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1324782984i/7488244.jpg
"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,5,3.89,270.0,2019/06/15,2019,73,Fantasy,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1591616783i/307791.jpg
Remain Nameless,HeyJude19,5,4.4,1000.0,2024/01/29,2024,74,Fanfiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1681008281i/123979401.jpg
Manacled,SenLinYu,3,4.65,1458.0,2024/01/25,2024,75,Fanfiction,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1707128832i/60039506.jpg
"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,5,4.54,320.0,2024/03/03,2024,76,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1564967250i/43307358.jpg
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,5,4.47,288.0,2024/03/03,2024,77,Romance,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1712679126i/40495957.jpg
